id,titolo_originale,titolo,anno,genere,durata,paese,voto_medio,voto_critica,voto_pubblico,voti_totali,humor,ritmo,impegno,tensione
71393,Night Train to Munich,Night Train to Munich,1940,Commedia,95,Gran Bretagna,8.0,8.0,8,4,0,0,0,0
71395,Ole dole doff,Anghingò,1968,Drammatico,110,Svezia,7.3,,7,3,0,0,0,0
71397,Nybyggarna,La nuova terra,1972,Drammatico,204,Svezia,8.0,,8,3,0,0,0,0
71407,Postia pappi Jaakobille,Letters to Father Jacob,2009,Drammatico,74,Finlandia,6.8,8.0,6,3,0,0,0,0
71419,Asteroid vs. Earth,Asteroid vs. Earth,2014,Azione,91,USA,2.8,,3,12,0,0,0,0
71421,Wiedersehen in Malaysia,Passioni dal passato,2012,Drammatico,90,Germania,4.3,,4,3,0,0,0,0
71449,Holocaust 2,"Holocaust 2: i ricordi, i deliri, la vendetta",1980,Drammatico,76,Italia,3.8,1.5,6,3,0,0,0,0
71461,Un bambino di nome Gesù,Un bambino di nome Gesù,1987,Drammatico,190,"Italia, Germania",2.4,2.0,3,11,0,0,0,0
71467,"Homunculus, 1. Teil","Homunculus, 1. Teil",1916,Horror,69,Germania,5.8,4.0,8,3,0,0,0,0
71469,Common,Common,2014,Thriller,90,Gran Bretagna,7.5,,8,4,0,0,0,0
71471,No Direction Home: Bob Dylan,No Direction Home: Bob Dylan,2005,Documentario,208,"Gran Bretagna, USA, Giappone",7.9,8.0,8,26,0,0,0,0
71473,Kunsten at græde i kor,The Art of Crying,2006,Commedia,107,Danimarca,5.5,6.0,5,3,0,0,0,0
